,city,event,stage,dates,match_type,match_type_number,player_of_match,winner,winner_by,overs,season,team_type,team1,team2,toss_winner,toss_decision,venue
113,Lahore,New Zealand tour of Pakistan,,2023-04-17,T20,2047,TWM Latham,New Zealand,{'runs': 4},20,2023,international,New Zealand,Pakistan,New Zealand,bat,"Gaddafi Stadium, Lahore"
114,Rawalpindi,New Zealand tour of Pakistan,,2023-04-20,T20,2048,No Player,no result,no result,20,2023,international,New Zealand,Pakistan,Pakistan,field,Rawalpindi Cricket Stadium
115,Rawalpindi,New Zealand tour of Pakistan,,2023-04-24,T20,2049,MS Chapman,New Zealand,{'wickets': 6},20,2023,international,Pakistan,New Zealand,New Zealand,field,Rawalpindi Cricket Stadium
116,Birmingham,Pakistan tour of England,,2024-05-25,T20,2623,JC Buttler,England,{'runs': 23},20,2024,international,England,Pakistan,Pakistan,field,"Edgbaston, Birmingham"
117,London,Pakistan tour of England,,2024-05-30,T20,2631,AU Rashid,England,{'wickets': 7},20,2024,international,Pakistan,England,England,field,"Kennington Oval, London"
118,Auckland,Pakistan tour of New Zealand,,2024-01-12,T20,2429,DJ Mitchell,New Zealand,{'runs': 46},20,2023/24,international,New Zealand,Pakistan,Pakistan,field,"Eden Park, Auckland"
119,Hamilton,Pakistan tour of New Zealand,,2024-01-14,T20,2430,FH Allen,New Zealand,{'runs': 21},20,2023/24,international,New Zealand,Pakistan,Pakistan,field,"Seddon Park, Hamilton"
120,Dunedin,Pakistan tour of New Zealand,,2024-01-17,T20,2434,FH Allen,New Zealand,{'runs': 45},20,2023/24,international,New Zealand,Pakistan,Pakistan,field,"University Oval, Dunedin"
121,Christchurch,Pakistan tour of New Zealand,,2024-01-19,T20,2437,DJ Mitchell,New Zealand,{'wickets': 7},20,2023/24,international,Pakistan,New Zealand,New Zealand,field,"Hagley Oval, Christchurch"
122,Christchurch,Pakistan tour of New Zealand,,2024-01-21,T20,2438,Iftikhar Ahmed,Pakistan,{'runs': 42},20,2023/24,international,Pakistan,New Zealand,Pakistan,bat,"Hagley Oval, Christchurch"
123,Hangzhou,Asian Games Men's Cricket Competition,Quarter Final,2023-10-03,T20,2279,No Player,Pakistan,{'runs': 68},20,2023,international,Pakistan,Hong Kong,Hong Kong,field,Zhejiang University of Technology Cricket Field
124,Hangzhou,Asian Games Men's Cricket Competition,3rd Place Play-Off,2023-10-07,T20,2300,No Player,Bangladesh,{'wickets': 6},20,2023,international,Pakistan,Bangladesh,Bangladesh,field,Zhejiang University of Technology Cricket Field
125,Dallas,ICC Men's T20 World Cup,,2024-06-06,T20,2642,MD Patel,no result,no result,20,2024,international,Pakistan,United States of America,United States of America,field,"Grand Prairie Stadium, Dallas"
126,New York,ICC Men's T20 World Cup,,2024-06-09,T20,2658,JJ Bumrah,India,{'runs': 6},20,2024,international,India,Pakistan,Pakistan,field,"Nassau County International Cricket Stadium, New York"
127,New York,ICC Men's T20 World Cup,,2024-06-11,T20,2665,Mohammad Amir,Pakistan,{'wickets': 7},20,2024,international,Canada,Pakistan,Pakistan,field,"Nassau County International Cricket Stadium, New York"
128,Lauderhill,ICC Men's T20 World Cup,,2024-06-16,T20,2697,Shaheen Shah Afridi,Pakistan,{'wickets': 3},20,2024,international,Ireland,Pakistan,Pakistan,field,"Central Broward Regional Park Stadium Turf Ground, Lauderhill"
129,Rawalpindi,New Zealand tour of Pakistan,,2024-04-18,T20,2575,No Player,no result,no result,20,2024,international,New Zealand,Pakistan,New Zealand,bat,Rawalpindi Cricket Stadium
130,Rawalpindi,New Zealand tour of Pakistan,,2024-04-20,T20,2579,Shaheen Shah Afridi,Pakistan,{'wickets': 7},20,2024,international,New Zealand,Pakistan,Pakistan,field,Rawalpindi Cricket Stadium
131,Rawalpindi,New Zealand tour of Pakistan,,2024-04-21,T20,2581,MS Chapman,New Zealand,{'wickets': 7},20,2024,international,Pakistan,New Zealand,New Zealand,field,Rawalpindi Cricket Stadium
132,Lahore,New Zealand tour of Pakistan,,2024-04-25,T20,2582,W O'Rourke,New Zealand,{'runs': 4},20,2024,international,New Zealand,Pakistan,Pakistan,field,"Gaddafi Stadium, Lahore"
133,Lahore,New Zealand tour of Pakistan,,2024-04-27,T20,2583,Shaheen Shah Afridi,Pakistan,{'runs': 9},20,2024,international,Pakistan,New Zealand,New Zealand,field,"Gaddafi Stadium, Lahore"
134,Brisbane,Pakistan tour of Australia,,2024-11-14,T20,2948,GJ Maxwell,Australia,{'runs': 29},20,2024/25,international,Australia,Pakistan,Pakistan,field,"Brisbane Cricket Ground, Woolloongabba, Brisbane"
135,Sydney,Pakistan tour of Australia,,2024-11-16,T20,2954,SH Johnson,Australia,{'runs': 13},20,2024/25,international,Australia,Pakistan,Australia,bat,Sydney Cricket Ground
136,Hobart,Pakistan tour of Australia,,2024-11-18,T20,2959,MP Stoinis,Australia,{'wickets': 7},20,2024/25,international,Pakistan,Australia,Pakistan,bat,"Bellerive Oval, Hobart"
137,Dublin,Pakistan tour of Ireland,,2024-05-10,T20,2601,A Balbirnie,Ireland,{'wickets': 5},20,2024,international,Pakistan,Ireland,Ireland,field,"Castle Avenue, Dublin"
138,Dublin,Pakistan tour of Ireland,,2024-05-12,T20,2609,Mohammad Rizwan,Pakistan,{'wickets': 7},20,2024,international,Ireland,Pakistan,Pakistan,field,"Castle Avenue, Dublin"
